posts,region,province
Ang saya ko ngayon! 😊,VIII,Eastern Samar
Murag ubo nga naay plema ko karon. 😷,VI,Aklan
"Ugh, cough with phlegm again...",IVA,Quezon
Ilang araw na akong may ubong walang plema.,V,Albay
Unsay tambal sa hubak?,IX,Zamboanga del Sur
Having a wonderful day!,X,Misamis Occidental
Naay uban naka-experience ug tb?,CAR,Abra
Naay tambal para sa hubak?,V,Camarines Sur
Murag tb ko karon. 😷,IVA,Quezon
Bakit di mawala ang lagnat?,I,Pangasinan
Naglingaw-lingaw sa gawas. 🌳,IVB,Marinduque
Ilang araw na akong may ubong may plema.,IVB,Palawan
Pila na ka adlaw nga huyang ag ubo ko.,XI,Davao de Oro
Nindot kaayo ang kalangitan. 🌤️,CAR,Apayao
"Hay, ubo na naman...",I,Pangasinan
Hinaot mawala na ni nga hilanat.,BARMM,Lanao del Sur
Mapasalamaton sa nindot nga adlaw.,IX,Zamboanga Sibugay
Feeling great today! 😊,VIII,Biliran
Can't shake off this cough.,VI,Guimaras
May nakakaranas din ba ng ubong may plema?,IVA,Batangas
Naay tambal para sa hilanat?,VII,Bohol
"Hay, hubak nasad...",VIII,Northern Samar
Pila na ka adlaw nga ubo nga naay dulaw ug berde plema ko.,IVA,Batangas
Naay uban naka-experience ug hubak?,III,Nueva Ecija
Pakiramdam ko mainit ang pakiramdam ngayon. 😷,VI,Aklan
Naay uban naka-experience ug naghubak na naay kauban na dugo?,CAR,Ifugao
Pakiramdam ko ubo ngayon. 😷,CAR,Apayao
Ang ganda ng araw ko!,IVA,Laguna
Lakad-lakad sa siyudad.,X,Lanao del Norte
Naay uban naka-experience ug ubo nga naay plema?,XII,Sultan Kudarat
Nakakainis ang ubo na ito.,IX,Zamboanga Sibugay
Nakakainis ang ubong may plema na ito.,XI,Davao Oriental
Feeling cough today. 😷,XIII,Agusan del Norte
Pila na ka adlaw nga naghubak na naay kauban na dugo ko.,XII,Sultan Kudarat
Pakiramdam ko mahigit tatlong linggong ubo ngayon. 😷,III,Aurora
Nagpahuway ra sa balay.,CAR,Benguet
Nindot kaayo ang adlaw! ☀️,VI,Negros Occidental
Hindi mawala-wala ang ubo.,X,Misamis Oriental
Pakiramdam ko lagnat ngayon. 😷,VIII,Biliran
Naay uban naka-experience ug init ang pamati/ hilanat?,IVB,Occidental Mindoro
Ilang araw na akong may mahigit tatlong linggong ubo.,BARMM,Basilan
Ganahan ko sa panahon karon!,CAR,Mountain Province
Enjoying some time outside. 🌳,CAR,Mountain Province
Pakiramdam ko maplemang ubo ngayon. 😷,I,La Union
Ano bang gamot sa ubo?,CAR,Abra
May nakakaranas din ba ng matagal ng may ubo?,IVB,Occidental Mindoro
Hinaot mawala na ni nga hubak.,V,Camarines Norte
Ang ganda ng kalangitan. 🌤️,VIII,Eastern Samar
Bakit di mawala ang mainit ang pakiramdam?,CAR,Benguet
Murag kapin sa tulo ka semana nga ubo ko karon. 😷,III,Nueva Ecija
